geneName,geneID,zScore
CTBP1,ENSG00000159692,-1.315507596
MLH1,ENSG00000076242,-1.314518255
SEH1L,ENSG00000085415,-1.314503141
NEU1,ENSG00000228691,-1.314261455
NEU1,ENSG00000234846,-1.314261455
NEU1,ENSG00000223957,-1.314261455
NEU1,ENSG00000234343,-1.314261455
NEU1,ENSG00000204386,-1.314261455
NEU1,ENSG00000227315,-1.314261455
NEU1,ENSG00000227129,-1.314261455
NEU1,ENSG00000184494,-1.314261455
CCDC142,ENSG00000135637,-1.313618082
RXFP2,ENSG00000133105,-1.313475464
EIF3M,ENSG00000149100,-1.313102043
HOXA6,ENSG00000106006,-1.312990849
DPYSL5,ENSG00000157851,-1.312974123
DGCR2,ENSG00000070413,-1.312619949
CCDC92,ENSG00000275035,-1.312531469
CCDC92,ENSG00000119242,-1.312531469
GFAP,ENSG00000131095,-1.311715115
CELA1,ENSG00000139610,-1.311356598
VPS35,ENSG00000069329,-1.310749601
PLEKHA7,ENSG00000166689,-1.310554735
LUC7L,ENSG00000007392,-1.309611816
CST3,ENSG00000101439,-1.309330278
NDST3,ENSG00000164100,-1.309305153
DDAH1,ENSG00000153904,-1.309174687
BRPF3,ENSG00000096070,-1.308563448
LYPLA2,ENSG00000011009,-1.308316073
GAPDHS,ENSG00000105679,-1.307882173
CLNS1A,ENSG00000074201,-1.307780717
LMF1,ENSG00000103227,-1.307698446
APOLD1,ENSG00000178878,-1.306682042
OR51F2,ENSG00000176925,-1.306679837
FNBP1L,ENSG00000137942,-1.304999326
EPPIN,ENSG00000101448,-1.304671502
CA12,ENSG00000074410,-1.304025987
ITGB3BP,ENSG00000142856,-1.304014633
TRAK2,ENSG00000115993,-1.303734933
PROSER1,ENSG00000120685,-1.302473081
CBLC,ENSG00000142273,-1.302460437
CPT1A,ENSG00000110090,-1.300983252
SWAP70,ENSG00000133789,-1.299953991
USPL1,ENSG00000132952,-1.29981778
CD9,ENSG00000010278,-1.299802109
UTP3,ENSG00000132467,-1.299658379
CCDC78,ENSG00000162004,-1.299262656
GBP2,ENSG00000162645,-1.298558794
C1orf162,ENSG00000143110,-1.298389731
SPRR4,ENSG00000184148,-1.29731024
FOLR3,ENSG00000110203,-1.29671267
IL37,ENSG00000125571,-1.296711619
BACE1,ENSG00000186318,-1.296463464
CLASP2,ENSG00000163539,-1.296058033
DOCK11,ENSG00000147251,-1.295908995
EGR3,ENSG00000179388,-1.295621503
PPP1R1C,ENSG00000150722,-1.295568621
MEPCE,ENSG00000146834,-1.295413986
ZNF324,ENSG00000083812,-1.29416163
MFAP3L,ENSG00000198948,-1.294047067
TRHR,ENSG00000174417,-1.292522421
SLC39A2,ENSG00000165794,-1.292279042
ZFP37,ENSG00000136866,-1.292059322
UBQLN4,ENSG00000160803,-1.291792085
TEX44,ENSG00000177673,-1.291298364
GIP,ENSG00000159224,-1.291280176
FTSJ1,ENSG00000068438,-1.291230699
SBDS,ENSG00000126524,-1.291223198
SUFU,ENSG00000107882,-1.290838757
TFEB,ENSG00000112561,-1.290730954
DYRK2,ENSG00000127334,-1.290593364
LRRC34,ENSG00000171757,-1.290066133
BFSP2,ENSG00000170819,-1.290062281
NIPSNAP3B,ENSG00000165028,-1.289691939
MAP3K21,ENSG00000143674,-1.289170629
UBFD1,ENSG00000103353,-1.28906613
DAB2,ENSG00000153071,-1.289028716
KCNQ2,ENSG00000075043,-1.288924193
KCNQ2,ENSG00000281151,-1.288924193
CPN1,ENSG00000120054,-1.288917947
GPC4,ENSG00000076716,-1.288793915
CAMTA2,ENSG00000108509,-1.288643784
IGFBP7,ENSG00000163453,-1.288302341
DNMT3A,ENSG00000119772,-1.287992538
MEFV,ENSG00000103313,-1.287518438
SAPCD2,ENSG00000186193,-1.287494183
CACNA2D4,ENSG00000284953,-1.287472978
CACNA2D4,ENSG00000151062,-1.287472978
MC1R,ENSG00000258839,-1.287264686
ATP5F1B,ENSG00000110955,-1.286496437
LETM1,ENSG00000168924,-1.285813429
FAM83D,ENSG00000101447,-1.285740161
EWSR1,ENSG00000182944,-1.28563455
CLEC4D,ENSG00000166527,-1.284589404
NXNL2,ENSG00000130045,-1.284204726
N4BP2,ENSG00000078177,-1.283377842
ACSM4,ENSG00000215009,-1.28277412
LIMS2,ENSG00000072163,-1.282479113
RTP5,ENSG00000277949,-1.282192388
RTP5,ENSG00000188011,-1.282192388
MMP25,ENSG00000008516,-1.282186497
CDH7,ENSG00000081138,-1.282159831
SLC5A6,ENSG00000138074,-1.282074617
SLC26A10,ENSG00000135502,-1.281976396
GALNT8,ENSG00000130035,-1.280274325
CXCL13,ENSG00000156234,-1.280020725
HEMK1,ENSG00000114735,-1.279917774
EFL1,ENSG00000140598,-1.279872067
ATPAF1,ENSG00000123472,-1.279630829
THAP5,ENSG00000177683,-1.279516495
PSPH,ENSG00000146733,-1.279313857
TUBB1,ENSG00000101162,-1.27882655
MSANTD2,ENSG00000120458,-1.278573005
GBP3,ENSG00000117226,-1.277748454
TLR8,ENSG00000101916,-1.277146149
SNTG2,ENSG00000281486,-1.276461921
SNTG2,ENSG00000172554,-1.276461921
SNTG2,ENSG00000281020,-1.276461921
AKT1,ENSG00000142208,-1.275890915
CYP3A5,ENSG00000106258,-1.275788174
CD99,ENSG00000002586,-1.275376424
NLRP11,ENSG00000179873,-1.274919763
CEBPE,ENSG00000092067,-1.274711513
ITPK1,ENSG00000100605,-1.274559274
ITPK1,ENSG00000274958,-1.274559274
MPI,ENSG00000178802,-1.273092345
GZMK,ENSG00000113088,-1.27283558
EPHB2,ENSG00000133216,-1.272739498
GCDH,ENSG00000105607,-1.272572015
COL4A1,ENSG00000187498,-1.271869518
ZNF37A,ENSG00000075407,-1.27180322
SLC22A14,ENSG00000144671,-1.271796985
NAT2,ENSG00000156006,-1.271559155
DUS4L,ENSG00000105865,-1.271435916
DUS4L,ENSG00000284103,-1.271435916
NOP14,ENSG00000087269,-1.270692584
PARP3,ENSG00000041880,-1.270588937
TAL2,ENSG00000186051,-1.270020092
DHX29,ENSG00000067248,-1.269745368
NUP58,ENSG00000139496,-1.269212355
FNDC5,ENSG00000160097,-1.268679627
GABRR1,ENSG00000146276,-1.268557983
RAMAC,ENSG00000169612,-1.267774433
RAB37,ENSG00000172794,-1.267691912
KLHDC1,ENSG00000197776,-1.267619236
CHSY3,ENSG00000198108,-1.267121798
ASMT,ENSG00000196433,-1.2670613
OTX2,ENSG00000165588,-1.26703461
COQ9,ENSG00000088682,-1.266090577
IL2RG,ENSG00000147168,-1.265886558
MYH6,ENSG00000197616,-1.265549349
NDUFB8,ENSG00000166136,-1.265176787
ATXN1,ENSG00000124788,-1.264456802
FOXRED1,ENSG00000110074,-1.263401607
PDCD6,ENSG00000249915,-1.263168935
FOXO4,ENSG00000184481,-1.26276838
HRG,ENSG00000113905,-1.262609824
VPS54,ENSG00000143952,-1.262115235
FAM9B,ENSG00000177138,-1.262083702
ACTN1,ENSG00000072110,-1.262035005
OR2S2,ENSG00000278889,-1.261951663
GDPGP1,ENSG00000183208,-1.261448537
DECR2,ENSG00000242612,-1.261391361
DECR2,ENSG00000274296,-1.261391361
ILK,ENSG00000166333,-1.261260085
SLC35C1,ENSG00000181830,-1.260090932
VEZF1,ENSG00000136451,-1.259781954
NINJ1,ENSG00000131669,-1.259361526
TM7SF3,ENSG00000064115,-1.259013258
AMY2B,ENSG00000240038,-1.258740735
RASGRP1,ENSG00000172575,-1.25740736
PTK2,ENSG00000169398,-1.256573318
EZH2,ENSG00000106462,-1.255877766
MAX,ENSG00000125952,-1.255436306
ELP6,ENSG00000163832,-1.255174176
GNAI1,ENSG00000127955,-1.255088066
VEZT,ENSG00000028203,-1.254515035
DNAJA4,ENSG00000140403,-1.254385839
CREB1,ENSG00000118260,-1.254204914
PDXDC1,ENSG00000179889,-1.254031738
PDXDC1,ENSG00000276709,-1.254031738
NOS1,ENSG00000089250,-1.253645996
CEBPG,ENSG00000153879,-1.253178296
SPAG7,ENSG00000091640,-1.253152137
SLC39A6,ENSG00000141424,-1.253070716
SLC25A40,ENSG00000075303,-1.253023462
THOP1,ENSG00000172009,-1.252712631
CPEB3,ENSG00000107864,-1.252547546
APOB,ENSG00000084674,-1.252529948
ZNF808,ENSG00000198482,-1.252004387
RNF144A,ENSG00000151692,-1.251726047
ANKRD12,ENSG00000101745,-1.251075648
C3orf18,ENSG00000088543,-1.251000807
CCDC83,ENSG00000150676,-1.250987754
SLCO2A1,ENSG00000174640,-1.25064374
ACAD8,ENSG00000151498,-1.250386335
TAF4,ENSG00000280529,-1.249038749
TAF4,ENSG00000130699,-1.249038749
SOX8,ENSG00000005513,-1.248992698
MOB4,ENSG00000115540,-1.248446473
OR4C16,ENSG00000279514,-1.248431854
CBLB,ENSG00000114423,-1.248192098
FAM114A2,ENSG00000055147,-1.247704346
FBLN2,ENSG00000163520,-1.247688607
DUSP9,ENSG00000130829,-1.247455223
OTUD5,ENSG00000068308,-1.247215652
SCIMP,ENSG00000161929,-1.246655263
PTAFR,ENSG00000169403,-1.246201071
CLDN10,ENSG00000134873,-1.245919715
GFPT1,ENSG00000198380,-1.244676495
TMCO3,ENSG00000150403,-1.244575102
AGPAT5,ENSG00000284980,-1.244314944
AGPAT5,ENSG00000155189,-1.244314944
DOCK10,ENSG00000135905,-1.244186767
ANO8,ENSG00000074855,-1.244184003
RAB31,ENSG00000168461,-1.243381731
LILRA5,ENSG00000274113,-1.243288295
LILRA5,ENSG00000274914,-1.243288295
LILRA5,ENSG00000278355,-1.243288295
LILRA5,ENSG00000187116,-1.243288295
LILRA5,ENSG00000275404,-1.243288295
NDFIP1,ENSG00000131507,-1.243040348
TICAM2,ENSG00000243414,-1.242906526
RNF14,ENSG00000013561,-1.242852896
PALB2,ENSG00000083093,-1.242796245
RRP15,ENSG00000067533,-1.242565745
PSMB6,ENSG00000142507,-1.241951265
TMEM26,ENSG00000196932,-1.241251648
HDAC10,ENSG00000100429,-1.240711993
HESX1,ENSG00000163666,-1.240359639
DNAAF2,ENSG00000165506,-1.239660141
UBE2D4,ENSG00000078967,-1.239388651
TENT2,ENSG00000164329,-1.239260294
LSG1,ENSG00000041802,-1.238983683
TTC23L,ENSG00000205838,-1.237874145
GNL3L,ENSG00000130119,-1.237434014
CCR6,ENSG00000112486,-1.236581345
HTT,ENSG00000197386,-1.236444259
ITPKB,ENSG00000143772,-1.236243234
HIST1H2BD,ENSG00000158373,-1.235792166
CELF6,ENSG00000140488,-1.235579507
S100A12,ENSG00000163221,-1.234894991
ZNF610,ENSG00000167554,-1.234890885
EYA2,ENSG00000064655,-1.23473226
STX12,ENSG00000117758,-1.233881689
PPP2CA,ENSG00000113575,-1.233865663
10-Sep,ENSG00000186522,-1.232457671
ERVW-1,ENSG00000242950,-1.231926051
TOMM20,ENSG00000173726,-1.231811098
AMACR,ENSG00000242110,-1.231455101
ZBTB20,ENSG00000181722,-1.231262422
PHYHIPL,ENSG00000165443,-1.231188321
LDHAL6A,ENSG00000166800,-1.231133159
ARSB,ENSG00000113273,-1.230826725
IL18BP,ENSG00000137496,-1.230342706
CEP131,ENSG00000141577,-1.230099539
ZNF821,ENSG00000102984,-1.229469677
COX6A2,ENSG00000156885,-1.229132871
TBL1XR1,ENSG00000177565,-1.228765056
MSMO1,ENSG00000052802,-1.228236127
MRPS34,ENSG00000074071,-1.227975585
ANKLE1,ENSG00000160117,-1.227648501
IFNAR2,ENSG00000159110,-1.227076726
NDUFB1,ENSG00000183648,-1.226778735
SV2B,ENSG00000185518,-1.226432625
XPR1,ENSG00000143324,-1.226259102
CBR3,ENSG00000159231,-1.225428011
DHCR7,ENSG00000172893,-1.224300665
FATE1,ENSG00000147378,-1.223198053
GAS6,ENSG00000183087,-1.222673192
CERS6,ENSG00000172292,-1.222461147
HTATSF1,ENSG00000102241,-1.221997976
IL17A,ENSG00000112115,-1.221521009
SLC22A12,ENSG00000197891,-1.221487313
MUCL1,ENSG00000172551,-1.221438127
TRAPPC2L,ENSG00000167515,-1.221249563
GPR142,ENSG00000257008,-1.220130798
GDAP2,ENSG00000196505,-1.219389227
DHDH,ENSG00000104808,-1.219308299
TIMM10,ENSG00000134809,-1.218945766
NFE2L2,ENSG00000116044,-1.218803534
WNT3,ENSG00000277626,-1.218676398
WNT3,ENSG00000108379,-1.218676398
WNT3,ENSG00000277641,-1.218676398
SETD1A,ENSG00000099381,-1.218573087
BCAR1,ENSG00000050820,-1.218483786
BCAR1,ENSG00000285460,-1.218483786
ANP32E,ENSG00000143401,-1.218376544
ADGRE1,ENSG00000174837,-1.217834833
PEX10,ENSG00000157911,-1.217707713
GMPR,ENSG00000137198,-1.217664219
ATF7,ENSG00000170653,-1.217161795
FLVCR2,ENSG00000119686,-1.217144925
S100Z,ENSG00000171643,-1.216599409
TTC30A,ENSG00000197557,-1.216473295
UNC45B,ENSG00000141161,-1.216324115
NUDT17,ENSG00000186364,-1.216251705
TFIP11,ENSG00000100109,-1.214972596
PRKD2,ENSG00000105287,-1.214620929
EPM2AIP1,ENSG00000178567,-1.214472934
C14orf93,ENSG00000100802,-1.21445869
ERAL1,ENSG00000132591,-1.214140739
RAD17,ENSG00000152942,-1.213978735
RAD17,ENSG00000276618,-1.213978735
RETREG3,ENSG00000141699,-1.21333099
BEND5,ENSG00000162373,-1.213053066
XPNPEP1,ENSG00000108039,-1.212932379
TNR,ENSG00000116147,-1.21290406
DPYD,ENSG00000188641,-1.212358452
PARVB,ENSG00000188677,-1.211920357
MTRR,ENSG00000124275,-1.211795499
MARS,ENSG00000166986,-1.211635466
TYRP1,ENSG00000107165,-1.210326744
MDH1B,ENSG00000138400,-1.210209001
FAAP20,ENSG00000162585,-1.209053055
C1orf158,ENSG00000157330,-1.208521491
PHKB,ENSG00000102893,-1.208348609
KMT2A,ENSG00000118058,-1.20728694
STRN3,ENSG00000196792,-1.207194187
ITPKA,ENSG00000137825,-1.20686801
ONECUT1,ENSG00000169856,-1.206274317
CENPK,ENSG00000123219,-1.205461818
EPS8,ENSG00000151491,-1.205325735
THY1,ENSG00000154096,-1.205324454
GCNT4,ENSG00000176928,-1.204942488
GPR17,ENSG00000144230,-1.20438109
ZNF425,ENSG00000204947,-1.204264229
FAM98C,ENSG00000130244,-1.203751523
ADORA2A,ENSG00000128271,-1.203542263
SLC2A13,ENSG00000151229,-1.203476257
ADCYAP1,ENSG00000141433,-1.202461454
HEXB,ENSG00000049860,-1.202392009
RDH10,ENSG00000121039,-1.202168611
USP49,ENSG00000164663,-1.201738794
PLEKHG6,ENSG00000008323,-1.201217321
PLCB3,ENSG00000149782,-1.199927289
PDCL2,ENSG00000163440,-1.199505779
FBXW12,ENSG00000164049,-1.199337625
WNT1,ENSG00000125084,-1.199113118
CRYAA,ENSG00000160202,-1.198425532
COASY,ENSG00000068120,-1.198298698
CD4,ENSG00000010610,-1.198080085
TBC1D22B,ENSG00000065491,-1.197736716
ELK4,ENSG00000158711,-1.197103183
OR7C1,ENSG00000127530,-1.196473589
IPCEF1,ENSG00000074706,-1.196296612
ACADSB,ENSG00000196177,-1.196281042
DFFA,ENSG00000160049,-1.195187135
FUS,ENSG00000089280,-1.194385205
LRRC14B,ENSG00000185028,-1.193056448
DPYSL3,ENSG00000113657,-1.192955842
HIST1H2AH,ENSG00000274997,-1.192313873
GSS,ENSG00000100983,-1.192169136
OMG,ENSG00000126861,-1.191908881
ATP6V1D,ENSG00000100554,-1.191118618
LAMC1,ENSG00000135862,-1.191089191
HOXB1,ENSG00000120094,-1.190748321
FLNA,ENSG00000196924,-1.19061033
RBM23,ENSG00000100461,-1.190526256
TMCO6,ENSG00000113119,-1.190260509
BLOC1S6,ENSG00000104164,-1.190170124
CAMP,ENSG00000164047,-1.189847433
OR5F1,ENSG00000149133,-1.189603246
AQP5,ENSG00000161798,-1.189577268
ASIP,ENSG00000101440,-1.189383231
RGR,ENSG00000148604,-1.18935848
CKAP2L,ENSG00000169607,-1.189287613
LPCAT2,ENSG00000087253,-1.189191449
CPA4,ENSG00000128510,-1.189006092
MED19,ENSG00000156603,-1.188740569
TYROBP,ENSG00000011600,-1.188607002
CLN3,ENSG00000188603,-1.188361798
IL31,ENSG00000204671,-1.187680647
WDR90,ENSG00000161996,-1.187612306
PDIA3,ENSG00000167004,-1.187024634
ATPAF2,ENSG00000171953,-1.186972559
ZNF70,ENSG00000187792,-1.186658601
BAIAP2L2,ENSG00000128298,-1.186414165
TRAPPC6B,ENSG00000182400,-1.186093232
CTNNA2,ENSG00000066032,-1.186050075
PUF60,ENSG00000274081,-1.185710691
PUF60,ENSG00000179950,-1.185710691
SCGB1A1,ENSG00000149021,-1.185611605
IFI27L2,ENSG00000119632,-1.185081958
IFI27L2,ENSG00000276879,-1.185081958
PCDHB13,ENSG00000187372,-1.184889593
TIMMDC1,ENSG00000113845,-1.184843124
SLC22A11,ENSG00000168065,-1.184026487
CCDC87,ENSG00000182791,-1.183607573
SAP18,ENSG00000150459,-1.182878036
LMNTD2,ENSG00000185522,-1.182716835
LMNTD2,ENSG00000275873,-1.182716835
CALB2,ENSG00000172137,-1.182562476
CALB2,ENSG00000282830,-1.182562476
GID4,ENSG00000141034,-1.182409744
EIF4E,ENSG00000151247,-1.182243031
ZNF30,ENSG00000168661,-1.181898074
OR4D2,ENSG00000255713,-1.181623707
COQ8B,ENSG00000123815,-1.181571179
CRYAB,ENSG00000109846,-1.181534133
PIK3R4,ENSG00000196455,-1.181037151
PPP1R16B,ENSG00000101445,-1.180959235
TFB2M,ENSG00000162851,-1.180690954
HAND2,ENSG00000164107,-1.180275703
TMX2,ENSG00000213593,-1.179900424
SIRPG,ENSG00000089012,-1.179879612
FAM189B,ENSG00000160767,-1.179868029
FAM189B,ENSG00000262666,-1.179868029
NPHP3,ENSG00000113971,-1.179463986
ARMC6,ENSG00000105676,-1.179125928
METTL2B,ENSG00000165055,-1.177711376
KRT32,ENSG00000108759,-1.177688486
TACC2,ENSG00000138162,-1.177476573
ZCCHC2,ENSG00000141664,-1.176913649
GDPD3,ENSG00000102886,-1.176784899
OR13C3,ENSG00000204246,-1.176782908
NELL1,ENSG00000165973,-1.176755328
COL8A2,ENSG00000171812,-1.17665305
PITRM1,ENSG00000107959,-1.176256906
GHRH,ENSG00000118702,-1.175986444
ESR2,ENSG00000140009,-1.175674381
VTCN1,ENSG00000134258,-1.17501566
DHX8,ENSG00000067596,-1.174609173
PLOD3,ENSG00000106397,-1.174366464
ALKAL2,ENSG00000189292,-1.174198342
GTPBP2,ENSG00000172432,-1.174054982
RASIP1,ENSG00000105538,-1.173272199
CD5L,ENSG00000073754,-1.173257252
MPIG6B,ENSG00000204420,-1.17313747
MPIG6B,ENSG00000206396,-1.17313747
MPIG6B,ENSG00000228090,-1.17313747
MPIG6B,ENSG00000230060,-1.17313747
MPIG6B,ENSG00000237459,-1.17313747
MPIG6B,ENSG00000224393,-1.17313747
MPIG6B,ENSG00000231003,-1.17313747
TNFRSF11B,ENSG00000164761,-1.17271759
STS,ENSG00000101846,-1.172301896
MRPS22,ENSG00000175110,-1.172094852
PFKL,ENSG00000141959,-1.171850694
TGIF2LX,ENSG00000153779,-1.171564342
ZBTB12,ENSG00000204366,-1.171555714
ZBTB12,ENSG00000206366,-1.171555714
ZBTB12,ENSG00000234196,-1.171555714
ZBTB12,ENSG00000237900,-1.171555714
ZBTB12,ENSG00000234852,-1.171555714
IAPP,ENSG00000121351,-1.171028767
DZIP3,ENSG00000198919,-1.170972926
NDUFB6,ENSG00000165264,-1.170809117
GPR161,ENSG00000143147,-1.170076465
PAGE2,ENSG00000234068,-1.169596551
MAPKAPK2,ENSG00000162889,-1.169523062
TCOF1,ENSG00000070814,-1.169389406
DST,ENSG00000151914,-1.169270654
RGS7BP,ENSG00000186479,-1.168942381
AMT,ENSG00000145020,-1.168868273
CA5A,ENSG00000174990,-1.168859467
SLC32A1,ENSG00000101438,-1.16881561
RND2,ENSG00000108830,-1.168095684
GTF2IRD1,ENSG00000006704,-1.167950203
RGS11,ENSG00000076344,-1.167315941
WDR83OS,ENSG00000105583,-1.167276406
ASCL2,ENSG00000183734,-1.16638888
TNP2,ENSG00000178279,-1.165393039
SNTB2,ENSG00000260873,-1.165304447
SNTB2,ENSG00000168807,-1.165304447
NRBP1,ENSG00000115216,-1.164323259
IQCJ,ENSG00000214216,-1.163790629
DHFR,ENSG00000228716,-1.163498928
GNL1,ENSG00000235986,-1.163398719
GNL1,ENSG00000232143,-1.163398719
GNL1,ENSG00000206412,-1.163398719
GNL1,ENSG00000226882,-1.163398719
GNL1,ENSG00000228581,-1.163398719
GNL1,ENSG00000206492,-1.163398719
GNL1,ENSG00000204590,-1.163398719
GNL1,ENSG00000229470,-1.163398719
STIL,ENSG00000123473,-1.163158319
KLHL8,ENSG00000145332,-1.162805073
CYP24A1,ENSG00000019186,-1.162520429
SHH,ENSG00000164690,-1.1616004
CLUAP1,ENSG00000103351,-1.161575347
RRP9,ENSG00000114767,-1.160906285
GOT2,ENSG00000125166,-1.160636358
TRMT6,ENSG00000089195,-1.160160875
KIAA1958,ENSG00000165185,-1.160024718
TINAG,ENSG00000137251,-1.15996179
ARF4,ENSG00000168374,-1.159812746
RTN4,ENSG00000115310,-1.159788478
EFCAB11,ENSG00000140025,-1.159747797
NSMF,ENSG00000165802,-1.15967591
DNAL4,ENSG00000100246,-1.159168847
RGS9BP,ENSG00000186326,-1.158663922
SLC17A3,ENSG00000124564,-1.158037721
NACC2,ENSG00000148411,-1.157854141
NMUR1,ENSG00000171596,-1.157838839
FAM19A3,ENSG00000184599,-1.157749454
ITGB5,ENSG00000082781,-1.157516869
SPATA6,ENSG00000132122,-1.156987736
CLTB,ENSG00000175416,-1.156772412
MPZ,ENSG00000158887,-1.156767014
IFNA21,ENSG00000137080,-1.156352294
CCNF,ENSG00000162063,-1.155781871
DTNA,ENSG00000134769,-1.155466043
PCYT1A,ENSG00000161217,-1.155038163
KEL,ENSG00000276615,-1.154599662
KEL,ENSG00000197993,-1.154599662
TMEM70,ENSG00000175606,-1.152488378
KRT36,ENSG00000126337,-1.152199832
MIGA2,ENSG00000148343,-1.152137159
RDH8,ENSG00000080511,-1.151560668
ARL14EP,ENSG00000152219,-1.150627264
LILRB2,ENSG00000275463,-1.149694379
LILRB2,ENSG00000276146,-1.149694379
LILRB2,ENSG00000131042,-1.149694379
LILRB2,ENSG00000277751,-1.149694379
LILRB2,ENSG00000274513,-1.149694379
C3orf33,ENSG00000174928,-1.149011963
RNASE6,ENSG00000169413,-1.148490258
JPT1,ENSG00000189159,-1.148075797
CYP2F1,ENSG00000197446,-1.147853337
DCBLD2,ENSG00000057019,-1.146869674
HARS,ENSG00000170445,-1.146808534
DDX3X,ENSG00000215301,-1.146733078
HES1,ENSG00000114315,-1.146497006
IL20RB,ENSG00000174564,-1.146456416
TAPT1,ENSG00000169762,-1.145451388
TTC14,ENSG00000163728,-1.145335503
TEX13B,ENSG00000170925,-1.145253566
UTP20,ENSG00000120800,-1.144502452
PPP2R5A,ENSG00000066027,-1.14442976
PACSIN2,ENSG00000100266,-1.144297652
RAB36,ENSG00000100228,-1.144257679
CIITA,ENSG00000179583,-1.144012393
DNAJC22,ENSG00000178401,-1.142975938
PPIL2,ENSG00000100023,-1.142921272
ARL4A,ENSG00000122644,-1.142716569
DYNC1I1,ENSG00000158560,-1.142416554
GPBP1L1,ENSG00000159592,-1.142177166
BPI,ENSG00000101425,-1.14198292
CASP4,ENSG00000196954,-1.141967549
PIWIL2,ENSG00000197181,-1.141892837
TEX14,ENSG00000121101,-1.14113701
EIF2B5,ENSG00000145191,-1.140476935
GCNT2,ENSG00000111846,-1.139970969
GCNT2,ENSG00000285222,-1.139970969
SLC4A4,ENSG00000080493,-1.139307216
OPTN,ENSG00000123240,-1.139146249
APIP,ENSG00000149089,-1.139117374
POU2AF1,ENSG00000110777,-1.138944874
OGFOD2,ENSG00000111325,-1.138865077
PPME1,ENSG00000214517,-1.138699111
OR5D14,ENSG00000186113,-1.138026825
LENG9,ENSG00000273574,-1.13782241
LENG9,ENSG00000274495,-1.13782241
DLGAP3,ENSG00000116544,-1.13756022
LCP1,ENSG00000136167,-1.137502746
CHMP3,ENSG00000115561,-1.137300901
SKA3,ENSG00000165480,-1.13694006
DPPA4,ENSG00000121570,-1.136764291
SPACA3,ENSG00000141316,-1.136689057
PSAPL1,ENSG00000178597,-1.136193682
IGSF3,ENSG00000143061,-1.136171978
HERC5,ENSG00000138646,-1.135223087
CHMP4C,ENSG00000164695,-1.134900062
FOXA1,ENSG00000129514,-1.134825586
IRGQ,ENSG00000167378,-1.134391315
KANSL2,ENSG00000139620,-1.133917641
ANKZF1,ENSG00000163516,-1.133463386
RCC1L,ENSG00000274523,-1.13334777
KRR1,ENSG00000111615,-1.133211342
SMAD6,ENSG00000137834,-1.132996907
TM6SF2,ENSG00000213996,-1.132403053
AKR1B10,ENSG00000198074,-1.132127226
LHX9,ENSG00000143355,-1.131719429
CASP9,ENSG00000132906,-1.131287356
CAPN2,ENSG00000162909,-1.131019461
ALX1,ENSG00000180318,-1.131009718
RNF121,ENSG00000137522,-1.1308738
IL18R1,ENSG00000115604,-1.129287085
ERC2,ENSG00000187672,-1.128500384
ATG2B,ENSG00000066739,-1.128115032
TM9SF3,ENSG00000077147,-1.128029049
LRRC17,ENSG00000128606,-1.127434616
ZNF263,ENSG00000006194,-1.127356567
CRYGB,ENSG00000182187,-1.12728281
FGF4,ENSG00000075388,-1.127108105
VPS37D,ENSG00000176428,-1.126344561
ITIH3,ENSG00000162267,-1.126169952
ASL,ENSG00000126522,-1.125930926
MIOX,ENSG00000100253,-1.125431393
GLUL,ENSG00000135821,-1.125403114
RAB15,ENSG00000139998,-1.125018448
SUPT7L,ENSG00000119760,-1.124872098
FBXO46,ENSG00000177051,-1.124772777
RAB18,ENSG00000099246,-1.124571828
TBL1Y,ENSG00000092377,-1.124496892
COG6,ENSG00000133103,-1.124132664
DGKZ,ENSG00000149091,-1.124041275
PNOC,ENSG00000168081,-1.123919731
TRPC4AP,ENSG00000100991,-1.123824742
NDRG4,ENSG00000103034,-1.123572662
VAV2,ENSG00000160293,-1.122114006
TNFAIP8L1,ENSG00000185361,-1.121732577
SH2D4A,ENSG00000104611,-1.121391712
RB1CC1,ENSG00000023287,-1.121182838
EDC3,ENSG00000179151,-1.121122117
FAM13A,ENSG00000138640,-1.120806741
NT5C1B,ENSG00000185013,-1.120584888
NDUFB7,ENSG00000099795,-1.120548856
ANXA1,ENSG00000135046,-1.120054301
EDN1,ENSG00000078401,-1.119838838
SLC25A44,ENSG00000160785,-1.118971309
ZNF546,ENSG00000187187,-1.118690606
ZNF546,ENSG00000281526,-1.118690606
C16orf46,ENSG00000166455,-1.118339179
HSFY1,ENSG00000172468,-1.1181201
RECQL,ENSG00000004700,-1.117231715
PCDHGB5,ENSG00000276547,-1.116808419
LRRN3,ENSG00000173114,-1.116791775
EIF4G1,ENSG00000114867,-1.116775359
ECT2,ENSG00000114346,-1.116496538
PUSL1,ENSG00000169972,-1.116341081
FKBP2,ENSG00000173486,-1.116159812
BBS1,ENSG00000174483,-1.116136169
HAO1,ENSG00000101323,-1.11547448
NPBWR1,ENSG00000183729,-1.115332583
TNPO3,ENSG00000064419,-1.115226601
PLEKHA4,ENSG00000105559,-1.115061079
LYRM9,ENSG00000232859,-1.114965141
RHCG,ENSG00000140519,-1.114867627
PACSIN1,ENSG00000124507,-1.114733226
ZNF750,ENSG00000141579,-1.114591879
RRS1,ENSG00000179041,-1.114573125
INO80B,ENSG00000115274,-1.114035943
FBLN5,ENSG00000140092,-1.114009571
CYP17A1,ENSG00000148795,-1.113791516
NAA10,ENSG00000102030,-1.113670285
FBXO47,ENSG00000204952,-1.113003962
MMEL1,ENSG00000142606,-1.112848719
